,count,minNt_r
114042,856,00000005050b860000000000000700898b00
113393,852,0087008a008a85000a870000000000000700
113093,851,0a000905000000000087000000008b000800
114422,849,0086000000000700008b0f0000058c00000000000d000b0d
115041,847,000000850a008a8509000000000000050000
113025,847,000000070900000000890a00000085000a00
117127,847,000088860000060500068800090000000000
115188,846,060000080000000000008900000784080000
116347,845,0000850000000b0009000807000000008904
113351,845,8c00000000000700080a000000880700000e850000000000
114919,844,0000008a00000a0000000700000004000985
116002,844,8b00000000860007000000000b8688000000
113131,843,890000000087050000000086860009000000
113776,840,000800080084000000070000000600000000890000878400
114792,840,008805000000000b00008a04000000000085
116731,839,0a00000000000007880500000000008b8a87
114417,839,85008b00008884000b870000000004000000
113870,839,00008a00000007000a080000008700008509
116586,838,000000008a00070b000008000b8600000085
113791,838,0088000000000000000606090009000a0085
116572,838,0005000000000c8700008a00008e8a8f00000000000b0000
113813,837,00070a00000b008600000000000604880000
116139,835,000084000000000009058e000000000d000000078b000089
113798,835,060000000000080a00000e008b00000000008d870000008f
116159,832,0a00000884080000878b0000000000000400
114724,832,000a008b000004000000008a008500000088
116170,830,0a000800008c0000000000050000090d000000848a000000
114308,830,8c00050400008f008900000000000000000c850000000900
117117,830,00008d858700000000000005008b0000000e000a0e000000
116563,829,8500000b0900898487000000000700000000
116247,829,06000000078b000087000000080000080700
113890,827,000000868c00000000008a00080c000e000007000b000000
113762,827,00000004000c0000000009008b0000008d00000086000d86
115085,824,0000850000000b000b04000000060000068b
114985,821,0000000e04008c0000088d00008f00000089000000840000
113785,821,00850a0b00008a00000c00000700000800000000008e0000
115186,819,880000008400058a860000000000000a0000
116414,819,00850000008b880c0f00000000000000068f00000a000000
114755,818,090400000000008800000000070000008409
115260,817,0000060000080000070b840000008a000000
116730,815,0000000004000000858a0000088400008d00000000870b0f
113926,814,000c000d0089008a000006008f86000000000000000a0000
114297,814,00000000008e00000a00000087008900890000070007000e
114421,813,000000000c000004000000008e008b000088000086088600
113111,812,8a008400000000070000008600000000860a
112943,810,008b0000000000000087000e080006000000008d8d000009
